NationalNumber,Name,PrimaryType,SecondaryType,HP,Attack,Defense,SpAttack,SpAttack,Speed,PreEvolution,Tier
1,Bulbasaur,Grass,Poison,45,49,49,65,65,45,,LC
2,Ivysaur,Grass,Poison,60,62,63,80,80,60,Bulbasaur,NFE
3,Venusaur,Grass,Poison,80,82,83,100,100,80,Ivysaur,UUBL
4,Charmander,Fire,None,39,52,43,60,50,65,,LC
5,Charmeleon,Fire,None,58,64,58,80,65,80,Charmander,NFE
6,Charizard,Fire,Flying,78,84,78,109,85,100,Charmeleon,UUBL
7,Squirtle,Water,None,44,48,65,50,64,43,,LC
8,Wartortle,Water,None,59,63,80,65,80,58,Squirtle,NFE
9,Blastoise,Water,None,79,83,100,85,105,78,Wartortle,UU
10,Caterpie,Bug,None,45,30,35,20,20,45,,LC
11,Metapod,Bug,None,50,20,55,25,25,30,Caterpie,NFE
12,Butterfree,Bug,Flying,60,45,50,90,80,70,Metapod,NU
13,Weedle,Bug,Poison,40,35,30,20,20,50,,LC
14,Kakuna,Bug,Poison,45,25,50,25,25,35,Weedle,NFE
15,Beedrill,Bug,Poison,65,90,40,45,80,75,Kakuna,NU
16,Pidgey,Normal,Flying,40,45,40,35,35,56,,LC
17,Pidgeotto,Normal,Flying,63,60,55,50,50,71,Pidgey,NFE
18,Pidgeot,Normal,Flying,83,80,75,70,70,101,Pidgeotto,NU
19,Rattata,Normal,None,30,56,35,25,35,72,,LC
20,Raticate,Normal,None,55,81,60,50,70,97,Rattata,NU
21,Spearow,Normal,Flying,40,60,30,31,31,70,,LC
22,Fearow,Normal,Flying,65,90,65,61,61,100,Spearow,NU
23,Ekans,Poison,None,35,60,44,40,54,55,,LC
24,Arbok,Poison,None,60,85,69,65,79,80,Ekans,NU
25,Pikachu,Electric,None,35,55,40,50,50,90,Pichu,UU
26,Raichu,Electric,None,60,90,55,90,80,110,Pikachu,NUBL
27,Sandshrew,Ground,None,50,75,85,20,30,40,,LC
28,Sandslash,Ground,None,75,100,110,45,55,65,Sandshrew,UU
29,Nidoran♀,Poison,None,55,47,52,40,40,41,,LC
30,Nidorina,Poison,None,70,62,67,55,55,56,Nidoran♀,NFE
31,Nidoqueen,Poison,Ground,90,92,87,75,85,76,Nidorina,UU
32,Nidoran♂,Poison,None,46,57,40,40,40,50,,LC
33,Nidorino,Poison,None,61,72,57,55,55,65,Nidoran♂,NFE
34,Nidoking,Poison,Ground,81,102,77,85,75,85,Nidorino,OU
35,Clefairy,Normal,None,70,45,48,60,65,35,Cleffa,NFE
36,Clefable,Normal,None,95,70,73,95,90,60,Clefairy,UUBL
37,Vulpix,Fire,None,38,41,40,50,65,65,,LC
38,Ninetales,Fire,None,73,76,75,81,100,100,Vulpix,NU
39,Jigglypuff,Normal,Normal,115,45,20,45,25,20,Igglybuff,NFE
40,Wigglytuff,Normal,Normal,140,70,45,85,50,45,Jigglypuff,NU
41,Zubat,Poison,Flying,40,45,35,30,40,55,,LC
42,Golbat,Poison,Flying,75,80,70,65,75,90,Zubat,NFE
43,Oddish,Grass,Poison,45,50,55,75,65,30,,LC
44,Gloom,Grass,Poison,60,65,70,85,75,40,Oddish,NU
45,Vileplume,Grass,Poison,75,80,85,110,90,50,Gloom,UU
46,Paras,Bug,Grass,35,70,55,45,55,25,,LC
47,Parasect,Bug,Grass,60,95,80,60,80,30,Paras,NU
48,Venonat,Bug,Poison,60,55,50,40,55,45,,LC
49,Venomoth,Bug,Poison,70,65,60,90,75,90,Venonat,NU
50,Diglett,Ground,None,10,55,25,35,45,95,,LC
51,Dugtrio,Ground,None,35,80,50,50,70,120,Diglett,NU
52,Meowth,Normal,None,40,45,35,40,40,90,,LC
53,Persian,Normal,None,65,70,60,65,65,115,Meowth,NU
54,Psyduck,Water,None,50,52,48,65,50,55,,LC
55,Golduck,Water,None,80,82,78,95,80,85,Psyduck,NUBL
56,Mankey,Fighting,None,40,80,35,35,45,70,,LC
57,Primeape,Fighting,None,65,105,60,60,70,95,Mankey,NU
58,Growlithe,Fire,None,55,70,45,70,50,60,,LC
59,Arcanine,Fire,None,90,110,80,100,80,95,Growlithe,UU
60,Poliwag,Water,None,40,50,40,40,40,90,,LC
61,Poliwhirl,Water,None,65,65,65,50,50,90,Poliwag,NU
62,Poliwrath,Water,Fighting,90,95,95,70,90,70,Poliwhirl,NUBL
63,Abra,Psychic,None,25,20,15,105,55,90,,LC
64,Kadabra,Psychic,None,40,35,30,120,70,105,Abra,UU
65,Alakazam,Psychic,None,55,50,45,135,95,120,Kadabra,UUBL
66,Machop,Fighting,None,70,80,50,35,35,35,,LC
67,Machoke,Fighting,None,80,100,70,50,60,45,Machop,NU
68,Machamp,Fighting,None,90,130,80,65,85,55,Machoke,OU
